program_number,agency_number,community_area,program_type,name,address,city,zip,service_areas
KC00422,A70009,Lower West Side,SFSP,Casa Juan Diego,,,,Open Program
KC00423,A70009,Uptown,SFSP,Chinese Mutual Aid,,,,
KC00427,A70009,West Englewood,SFSP,W. Englewood Lib - Lunch Bus,,,,Open Program
KC00430,A01496,Humboldt Park,SFSP,St. Francis of  Assisi,,,,
KC00431,A70009,Near West Side,SFSP,CPL - Mabel Manning Branch,6 S. Hoyne Ave.,Chicago,60612,Open Program
KC00436,A70009,Loop,SFSP,Hands Together Heart to Art,425 S. Wabash Ave.,Chicago,60605,Closed Program
KC00439,A01462,Oak Park,SFSP,New Life Ministries,,,,Open
KC00443,A70009,New City,SFSP,Sherman Park Branch Library,5440 S. Racine Ave,Chicago,60615,Open Program
KC00448,A70009,Austin,SFSP,Christian Service Center,,,,Open
KC00453,A70009,Near North Side,SFSP,Marion Nzinga Stamps Youth Cen,,,,Open
KC00456,A70009,Austin,SFSP,Second Chance Community Org,6276 W. North Ave,Chicago,60639,Open
KC00465,A70009,West Englewood,SFSP,Church of God Community Day,1738 W. Marquette Road,Chicago,60636,Open Site
SK00007,A00269,West Englewood,SOUP KITCH,FCHN Program SK,1234 W 59th St,Chicago,60636,Cook County
SK00028,A00070,Oakland,SOUP KITCH,Operation Pull Grant Mem. SK,4017 S Drexel Blvd,Chicago,60653,Vincennes to the Lake; 39th to 47th Street
SK00058,A00459,Austin,SOUP KITCH,Fraternite Notre Dame SK,502 N Central Ave,Chicago,60644,Cook County
SK00064,A00249,Grand Boulevard,SOUP KITCH,Second Faith Temple C.O.G.I.C,424 E 49th St,Chicago,60615,Cook County
SK00067,A00316,Kenwood,SOUP KITCH,Kenwood UCC Soup Kitchen,4608 S Greenwood Ave,Chicago,60653,Cook County
SK00068,A01508,Near North Side,SOUP KITCH,Fourth Presbyterian Church,126 E Chestnut St,Chicago,60611,Cook County -  Mostly serves individuals in Downtown Chicago
SK00070,A01508,Near North Side,SOUP KITCH,Fourth Presbyterian Church,126 E Chestnut St,Chicago,60611,Cook County -  Mostly serves individuals in Downtown Chicago
SK00102,A01508,Near North Side,SOUP KITCH,Fourth Presbyterian Church,721 N La Salle Dr,Chicago,60654,Cook County -  Mostly serves individuals in Downtown Chicago
SK00104,A01045,Near North Side,SOUP KITCH,Breaking Bread Ministries,1111 N Wells St Ste 500,Chicago,60610,Cook County
SK00111,A01128,Austin,SOUP KITCH,Westside Health Authority,5816 W Division St,Chicago,60651,Cook County
SK00116,A01260,Fuller Park,SOUP KITCH,Fellowship MBC,4543 S Princeton Ave,Chicago,60609,Cook County
SK00124,A01432,Washington Park,SOUP KITCH,RTW Veteran Center,5536 S King Dr,Chicago,60637,Cook County
SK00129,A01484,Humboldt Park,SOUP KITCH,The Love Foundation,3506 W Chicago Ave,Chicago,60651,Cook County
SK00135,A01502,East Garfield Park,SOUP KITCH,St. Stephen AME Church,3042 W Washington Blvd,Chicago,60612,Cook County
SP00208,A00922,Humboldt Park,SOUP KITCH,TSA: Harbor Light,825 N Christiana Ave,Chicago,60651,Closed Program - Mobile Soup Kitchen
SP00145,A01312,Elk Grove Village,SOUP KITCH,TSA: Elk Grove Village,1000 Pratt Blvd,Elk Grove Village,60007,Cook County
KC00109,A70009,West Ridge,CACFP,High Ridge YMCA,2424 W Touhy Ave,Chicago,60645,Closed Program
KC00119,A70009,West Ridge,CACFP,Indo American Center,6328 N California Ave,Chicago,60659,Closed Program
KC00196,A70009,Rogers Park,CACFP,Family Matters Inc.,7731 N Marshfield Ave,Chicago,60626,Closed Program
KC00238,A70009,Skokie,SFSP,Skokie Pulbic Library,5215 Oakton St,Skokie,60077,Open Site
KC00245,A70009,West Ridge,SFSP,Jewish Child and Family,3145 West Pratt,Chicago,60645,Closed site
KC00247,A70009,North Park,SFSP,Korean American Resource &,6212 N. Lincoln Ave,Chicago,60659,Open
KC00248,A70009,Uptown,SFSP,Lakeside Square Apartments,920 West Lakeside Place,Chicago,60640,Open site
KC00256,A70009,Edgewater,SFSP,Edgewater Baptist Church,1401 West Hollywood,Chicago,60660,Closed site
KC00278,A70009,Uptown,SFSP,CHA- NESS,4531 N. Hazel,Chicago,,Open site
KC00296,A70009,Edgewater,CACFP,CircEsteem,1650 W. Foster,Chicago,60640,Closed Program
KC00301,A70009,Uptown,CACFP,Chinese Mutual Aid Association,1016 W. Argyle Street,Chicago,60640,Closed Program
KC00311,A70009,Edgewater,SFSP,RefugeeOne,1212 W. Balmoral,Chicago,60640,Closed Site
KC00331,A70009,West Ridge,SFSP,Muslim Women Resource Center,6445 N. Western Avenue,Chicago,60645,Closed Site
KC00344,A70009,Uptown,SFSP,CHA - Truman College,1145 W. Wilson Ave.,Chicago,60640,Closed Program
KC00394,A70009,Rogers Park,SFSP,North Point Apts,7655 N. Ashland Ave,Chicago,60626,Open Program
KC00454,A70009,Uptown,SFSP,Alternatives Inc - Urban Arts,4730 North Sheridan,Chicago,60640,Closed Program
SK00003,A00393,Uptown,SOUP KITCH,Cornerstone Community Outreach,4626 N Clifton Ave,Chicago,60640,Cook County
SK00031,A00049,Uptown,SOUP KITCH,St. Thomas of Canterbury SK,4827 N Kenmore Ave,Chicago,60640,Cook County
SK00041,A00175,Rogers Park,SOUP KITCH,A Just Harvest,7649 N Paulina St,Chicago,60626,Cook County
SK00042,A00286,Evanston,SOUP KITCH,Ebenezer AME Soup Kitchen,1109 Emerson St,Evanston,60201,Cook County
SK00045,A00666,Uptown,SOUP KITCH,Inspiration Corporation,4554 N Broadway St Ste 207,Chicago,60640,Closed Program for Program Participants
SK00056,A00135,Rogers Park,SOUP KITCH,United Church of Rogers Park,1545 W Morse Ave,Chicago,60626,Cook County
SK00066,A00512,Uptown,SOUP KITCH,Preston Bradley Center,941 W Lawrence Ave 2nd Fl,Chicago,60640,Cook County
SK00087,A00288,Evanston,SOUP KITCH,Soup-er Saturday at 1st Pres.,1427 Chicago Ave,Evanston,60201,Cook County
SK00128,A00661,Uptown,SOUP KITCH,Sarah's Circle SK,4838 N Sheridan Rd,Chicago,60640,Closed Program
SP00032,A00935,Evanston,SEASONAL,Knight Family Foundation,1616 Benson Ave,Evanston,60201,
SP00037,A00955,Evanston,SOUP KITCH,The Campus Kitchen at,1820 Chicago Ave,Evanston,60201,Closed Program - ( Sun 1:30-3:30pm- no mondays starting September)
